F0semitoneFrom27.5Hz_sma3nz_amean,"mean logarithmic F0 on a semitone frequency scale, starting at 27.5 Hz (semitone 0) "
F0semitoneFrom27.5Hz_sma3nz_stddevNorm,"standard deviation of logarithmic F0 on a semitone frequency scale, starting at 27.5 Hz (semitone 0) "
F0semitoneFrom27.5Hz_sma3nz_percentile20.0,"20th percentile of logarithmic F0 on a semitone frequency scale, starting at 27.5 Hz (semitone 0) "
F0semitoneFrom27.5Hz_sma3nz_percentile50.0,"50th percentile of logarithmic F0 on a semitone frequency scale, starting at 27.5 Hz (semitone 0) "
F0semitoneFrom27.5Hz_sma3nz_percentile80.0,"80th percentile of logarithmic F0 on a semitone frequency scale, starting at 27.5 Hz (semitone 0) "
F0semitoneFrom27.5Hz_sma3nz_pctlrange0-2,"range of 20th to 80th percentile of logarithmic F0 on a semitone frequency scale, starting at 27.5 Hz (semitone 0) "
F0semitoneFrom27.5Hz_sma3nz_meanRisingSlope,"mean of the slope of rising logarithmic F0 on a semitone frequency scale, starting at 27.5 Hz (semitone 0) "
F0semitoneFrom27.5Hz_sma3nz_stddevRisingSlope,"standard deviation of the slope of rising logarithmic F0 on a semitone frequency scale, starting at 27.5 Hz (semitone 0) "
F0semitoneFrom27.5Hz_sma3nz_meanFallingSlope,"mean of the slope of falling logarithmic F0 on a semitone frequency scale, starting at 27.5 Hz (semitone 0) "
F0semitoneFrom27.5Hz_sma3nz_stddevFallingSlope,"standard deviation of the slope of falling logarithmic F0 on a semitone frequency scale, starting at 27.5 Hz (semitone 0) "
loudness_sma3_amean,mean loudness
loudness_sma3_stddevNorm,standard deviation of loudness
loudness_sma3_percentile20.0,20th percentile of loudness
loudness_sma3_percentile50.0,50th percentile of loudness
loudness_sma3_percentile80.0,80th percentile of loudness
loudness_sma3_pctlrange0-2,range of 20th to 80th percentile of loudness
loudness_sma3_meanRisingSlope,mean of the slope of rising loudness
loudness_sma3_stddevRisingSlope,standard deviation of the slope of rising loudness
loudness_sma3_meanFallingSlope,mean of the slope of falling loudness
loudness_sma3_stddevFallingSlope,standard deviation of the slope of falling loudness
spectralFlux_sma3_amean,mean spectral flux
spectralFlux_sma3_stddevNorm,standard deviation of spectral flux
mfcc1_sma3_amean,mean of the first Mel-Frequency-Cepstral-Coefficient (MFCC-1) 
mfcc1_sma3_stddevNorm,standard deviation of the first (Mel-Frequency-Cepstral-Coefficient (MFCC-1) 
mfcc2_sma3_amean,mean of the second Mel-Frequency-Cepstral-Coefficient (MFCC-2) 
mfcc2_sma3_stddevNorm,standard deviation of the second Mel-Frequency-Cepstral-Coefficient (MFCC-2)
mfcc3_sma3_amean,mean of the third Mel-Frequency-Cepstral-Coefficient (MFCC-3)
mfcc3_sma3_stddevNorm,standard deviation of the third Mel-Frequency-Cepstral-Coefficient (MFCC-3) 
